                                                                                           ,,,
-------------------------------------------------------------------------------------------,,,
                                                                                           ,,,
 Please cite as:                                                                           ,,,
                                                                                           ,,,
" C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       ",,,
" H. A. Meijer, Exchanges of atmospheric CO2 and 13CO2 with the terrestrial biosphere and   ",,,
" oceans from 1978 to 2000.  I. Global aspects, SIO Reference Series, No. 01-06, Scripps    ",,,
" Institution of Oceanography, San Diego, 88 pages, 2001.                                   ",,,
                                                                                           ,,,
" If it is necessary to cite a peer-reviewed article, please cite as:                       ",,,
                                                                                           ,,,
" C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       ",,,
" H. A. Meijer, Atmospheric CO2 and 13CO2 exchange with the terrestrial biosphere and       ",,,
" oceans from 1978 to 2000: observations and carbon cycle implications, pages 83-113,       ",,,
 in A History of Atmospheric CO2 and its effects on Plants, Animals," and Ecosystems""","     """
" editors, Ehleringer, J.R., T. E. Cerling, M. D. Dearing, Springer Verlag,                 ",,,
" New York, 2005.                                                                           ",,,
                                                                                           ,,,
-------------------------------------------------------------------------------------------,,,
                                                                                           ,,,
 The data file below contains 10 columns.  Columns 1-4 give the dates in several redundant ,,,
 formats. Column 5 below gives monthly Mauna Loa CO2 concentrations in micro-mol CO2 per   ,,,
" mole (ppm), reported on the 2008A SIO manometric mole fraction scale.  This is the        ",,,
 standard version of the data most often sought.  The monthly values have been adjusted    ,,,
 to 24:00 hours on the 15th of each month.  Column 6 gives the same data after a seasonal  ,,,
 adjustment to remove the quasi-regular seasonal cycle.  The adjustment involves           ,,,
 subtracting from the data a 4-harmonic fit with a linear gain factor.  Column 7 is a      ,,,
1980,2,338.36,337.7
1980,3,340.07,338.67
1980,4,340.77,338.25
1980,5,341.47,338.46
1980,6,341.17,338.91
1980,7,339.56,338.85
1980,8,337.6,338.98
1980,9,335.88,338.99
1980,10,336.02,339.23
1980,11,337.1,339.12
1980,12,338.21,339.04
1981,1,339.24,339.21
1981,2,340.48,339.81
1981,3,341.38,340
1981,4,342.51,340.01
1981,5,342.91,339.89
1981,6,342.25,339.96
1981,7,340.49,339.75
1981,8,338.43,339.79
1981,9,336.69,339.8
1981,10,336.86,340.08
1981,11,338.36,340.39
1981,12,339.61,340.45
1982,1,340.75,340.72
1982,2,341.61,340.95
1982,3,342.7,341.32
1982,4,343.57,341.06
1982,5,344.14,341.11
1982,6,343.35,341.05
1982,7,342.06,341.31
1982,8,339.81,341.17
1982,9,337.98,341.1
1982,10,337.86,341.1
1982,11,339.26,341.3
1982,12,340.49,341.32
1983,1,341.38,341.35
1983,2,342.52,341.86
1983,3,343.1,341.71
1983,4,344.94,342.43
1983,5,345.76,342.72
1983,6,345.32,343.01
1983,7,343.98,343.24
1983,8,342.38,343.75
1983,9,339.87,342.99
1983,10,339.99,343.24
1983,11,341.15,343.2
1983,12,342.99,343.83
1984,1,343.7,343.67
1984,2,344.5,343.84
1984,3,345.28,343.86
1984,4,347.06,344.52
1984,5,347.43,344.38
1984,6,346.8,344.5
1984,7,345.39,344.68
1984,8,343.28,344.68
1984,9,341.07,344.22
1984,10,341.35,344.6
1984,11,342.98,345.02
1984,12,344.22,345.06
1985,1,344.97,344.94
1985,2,345.99,345.32
1985,3,347.42,346.03
1985,4,348.35,345.82
1985,5,348.93,345.87
1985,6,348.25,345.93
1985,7,346.56,345.81
1985,8,344.67,346.05
1985,9,343.09,346.24
